timestamp_ms,frames_decoded,frames_dropped,frames_received,framerate,jitter_buffer_delay_ms,video_width,video_height,total_decode_time_ms,total_bytes_received,bitrates,overall_avg_bitrates,decoder_implementation
209230445,4280.8,0,4280.8,27.2,90119.1,1920,1080,30094.4,252525920,2.26512e+07,1.40085e+07,libvpx
209231447,4313.8,0,4313.8,33,91072.2,1920,1080,30368.1,254651767,1.69728e+07,1.4029e+07,libvpx
209232448,4344,0,4344,30.2,91965.4,1920,1080,30604.7,256498722,1.47609e+07,1.4034e+07,libvpx
209233449,4374,0,4374,30,92701,1920,1080,30824.4,258248892,1.39874e+07,1.40336e+07,libvpx
209234450,4403.2,0,4403.2,29.2,93462.4,1920,1080,31042.3,260107037,1.48503e+07,1.40392e+07,libvpx
209235451,4434,0,4434,30.8,94354.3,1920,1080,31271.3,261913292,1.44356e+07,1.40418e+07,libvpx
209236452,4464.6,0,4464.6,30.6,94824.1,1920,1080,31499,263383365,1.17488e+07,1.40265e+07,libvpx
209237454,4494.8,0,4494.8,30.2,95343.5,1920,1080,31728.5,265028057,1.31313e+07,1.40206e+07,libvpx
209238456,4525,0,4525,30.2,95875.6,1920,1080,31958.5,266671581,1.31219e+07,1.40147e+07,libvpx
209239457,4554.8,0,4554.8,29.8,96302.1,1920,1080,32178,268282296,1.28728e+07,1.40072e+07,libvpx
209240458,4584.2,0,4584.2,29.4,96842.1,1920,1080,32388.9,270099180,1.45206e+07,1.40106e+07,libvpx
209241460,4614.4,0,4614.4,30.2,97611.3,1920,1080,32610.1,271944532,1.47333e+07,1.40152e+07,libvpx
209242461,4644.2,0,4644.2,29.8,98478.5,1920,1080,32818.5,273834812,1.51071e+07,1.40222e+07,libvpx
209243463,4674.4,0,4674.4,30.2,99220.7,1920,1080,33035,275642063,1.44291e+07,1.40248e+07,libvpx
209244464,4705,0,4705,30.2,99771.3,1920,1080,33248.4,277248525,1.28389e+07,1.40173e+07,libvpx
209245465,4734.2,0,4734.2,29.2,100394,1920,1080,33459.7,279095071,1.47576e+07,1.4022e+07,libvpx
209246467,4764.4,0,4764.4,30,101181,1920,1080,33690.2,280986600,1.5102e+07,1.40287e+07,libvpx
209247468,4794.8,0,4794.8,30.2,101890,1920,1080,33909.7,282810906,1.45799e+07,1.40321e+07,libvpx
209248469,4825,0,4825,30.2,102576,1920,1080,34130.7,284583019,1.41627e+07,1.4033e+07,libvpx
209249471,4855,0,4855,30,103089,1920,1080,34340.7,286203857,1.29408e+07,1.40262e+07,libvpx
209250472,4883.6,0,4883.6,28.6,103748,1920,1080,34557.5,288128956,1.53854e+07,1.40345e+07,libvpx
209251473,4914.6,0,4914.6,31,104652,1920,1080,34800.6,290079523,1.55889e+07,1.40439e+07,libvpx
209252475,4945,0,4945,30.4,105289,1920,1080,35020.1,291818099,1.38808e+07,1.4043e+07,libvpx
209253476,4975,0,4975,30,105945,1920,1080,35230.8,293546995,1.38174e+07,1.40416e+07,libvpx
209254477,5005,0,5005,30,106612,1920,1080,35454.5,295383244,1.46753e+07,1.40454e+07,libvpx
209255478,5034.8,0,5034.8,29.8,107343,1920,1080,35674.6,297309206,1.53923e+07,1.40534e+07,libvpx
209256479,5065,0,5065,30.2,108123,1920,1080,35910,299171890,1.48866e+07,1.40583e+07,libvpx
209257480,5095,0,5095,29.8,108765,1920,1080,36137.7,300986058,1.44988e+07,1.40608e+07,libvpx
209258481,5125,0,5125,29.8,109513,1920,1080,36371.1,303056758,1.65491e+07,1.40753e+07,libvpx
209259482,5155,0,5155,29.8,110291,1920,1080,36609.6,305347206,1.83053e+07,1.40997e+07,libvpx
209260483,5185,0,5185,30,111100,1920,1080,36863.1,307911587,2.04946e+07,1.41365e+07,libvpx
209261485,5215,0,5215,30,111939,1920,1080,37127.4,310596108,2.14333e+07,1.41782e+07,libvpx
209262486,5244.8,0,5244.8,29.8,112751,1920,1080,37394.1,313256020,2.1258e+07,1.42184e+07,libvpx
209263488,5274.8,0,5274.8,30,113627,1920,1080,37681.4,316600723,2.67042e+07,1.4289e+07,libvpx
209264489,5305,0,5305,30,114400,1920,1080,37955.7,319438963,2.26832e+07,1.43361e+07,libvpx
209265490,5334.8,0,5334.8,29.6,115209,1920,1080,38257,323041259,2.87896e+07,1.44168e+07,libvpx
209266492,5360.4,0,5360.4,25.4,116152,1920,1080,38548.2,325935563,2.31082e+07,1.44651e+07,libvpx
